Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée,Nature,Malveillant,algorithme,random_forest_confidence,gradient_boosting_confidence
2022,7271,61,61474,Gouffern en Auge,7/18/22 14:54,200,0,,200,,,200,0,,,,,,,,,Données partielles ou non valides,Malveillance,1,0.988095238,0.5419266039211759,0.9349427363494681
2024,20116,13,13104,Sausset-les-Pins,4/16/24 11:47,5,5,0,0,0,0,,,,,Estimées,1,Non,,,,,Involontaire (particulier),0,0.090909091,0.29488706444455554,0.17133966332215447
2022,18911,13,13058,Maussane-les-Alpilles,8/1/22 19:33,5,5,,,,,,,,,,1,,,,,,Involontaire (particulier),0,0.06122449,0.30571614178704876,0.16743286321944453
2022,7119,72,72260,Ruaudin,8/16/22 22:12,10,10,,0,,,0,0,0,0,Estimées,,,,,,,Malveillance,1,0.23255814,0.3000446598298895,0.32008892200412553
2022,14792,6,6074,Lantosque,5/10/22 9:23,1000,,1000,,,,,,,,,5,,,,,,Malveillance,1,0.148148148,0.32375795190774775,0.27884340412605285
2023,2958,6,6023,Breil-sur-Roya,6/10/23 11:18,250,0,250,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0,0.078947368,0.31320598674456046,0.217407522
2022,10933,40,40244,Rivière-Saas-et-Gourby,8/12/22 12:21,406,406,,0,,,0,,,0,Estimées,,Non,,,,,Involontaire (particulier),0,0.166666667,0.26705808263539443,0.17702536103361427
2022,15978,11,11045,Bouriège,3/22/22 13:45,2000,,,,,,,,,,,,,,,,,Accidentelle,0,0.257142857,0.3136704201534329,0.2455564482412517
2023,4751,13,13002,Allauch,5/3/23 15:49,500,500,0,0,0,0,,,,,Estimées,1,Non,,,,,Involontaire (particulier),0,0.22,0.3071818965259002,0.217407522
2022,17810,7,7335,Vaudevant,7/10/22 15:16,100,100,,,,,,,,,,4,,,,,,Malveillance,1,0.3375,0.3125957311047855,0.21493347066694746
2023,3740,11,11286,Peyriac-Minervois,4/5/23 18:49,5000,0,5000,0,0,0,,,,,Mesurées,,Non,,,,,Involontaire (travaux),0,0.359375,0.33925164460120344,0.2775099672259729
2022,16519,34,34285,Saint-Pons-de-Mauchiens,7/5/22 18:29,116264,,116264,,,,,,,,,1,,,,,,Malveillance,1,0.543859649,0.3510105402450436,0.46716847005588513
2023,7618,11,11324,Roubia,8/10/23 9:33,60,60,0,0,0,0,,,,,Mesurées,,Non,,,,,Involontaire (particulier),0,0.036363636,0.309976117,0.23353099870954216
2023,7896,2A,2A359,Zicavo,8/23/23 17:51,4451,0,4451,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.459016393,0.3342280616448275,0.29968636766709916
2022,18526,11,11416,Villarzel-Cabardès,8/10/22 17:52,8993,,,,,,,,,,,,,,,,,Accidentelle,0,0.06779661,0.3136704201534329,0.2455564482412517
2024,28609,30,30221,Roquemaure,9/29/24 2:07,190,190,,,,,,,,,Mesurées,2,Non,,,,,Malveillance,1,0.475409836,0.32030156739966914,0.27433799611627036
2022,7197,61,61421,Saint-Mars-d'Égrenne,8/5/22 16:59,30000,0,,30000,,,30000,0,,,,,,,,,Données partielles ou non valides,Malveillance,1,0.983193277,0.5520065011460611,0.9349427363494681
2022,10855,40,40227,Pissos,8/16/22 21:41,17540,17540,,0,,,0,,,0,Estimées,,Non,,,,,Accidentelle,0,0.378378378,0.26855588322190477,0.17702536103361427
2024,22799,13,13099,Saint-Paul-lès-Durance,8/22/24 13:28,40,40,0,0,0,0,,,,,Mesurées,1,Oui,0,1,1,,Accidentelle,0,0.2,0.27594603162504244,0.2524175293373827
2023,5007,13,13005,Aubagne,7/8/23 18:22,20,20,0,0,0,0,,,,,Estimées,1,Non,,,,,Involontaire (particulier),0,0.024390244,0.2978308653726343,0.1683303100872087
2022,15283,13,13098,Saint-Mitre-les-Remparts,6/8/22 14:47,20,20,,,,,,,,,,1,,,,,,Malveillance,1,0.666666667,0.3705384675332231,0.6144298122781247
2022,16000,11,11273,Paraza,4/17/22 15:08,5000,,,,,,,,,,,,,,,,,Involontaire (particulier),0,0.019230769,0.3136704201534329,0.2455564482412517
2024,21683,13,13055,Marseille,8/4/24 15:22,10000,5000,3000,0,2000,0,,,,,Estimées,1,Non,,,,,Malveillance,1,0.2,0.2986404515438331,0.20523938295125463
2023,5796,2A,2A004,Ajaccio,7/19/23 10:13,20,0,20,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (travaux),0,0.125,0.30038978565355373,0.17102691536449957
2022,5567,974,97414,Saint-Louis,10/26/22 16:50,21889,0,,21889,,,21889,0,0,0,Mesurées,,,,,,,Malveillance,1,0.142857143,0.29894405356080583,0.2648249788936817
2022,11651,33,33019,Audenge,6/18/22 21:33,2500,2500,,0,,,0,,,0,Estimées,,Non,,,,,Naturelle,0,0,0.274630997,0.2028789190805396
2022,17362,2B,2B143,Linguizzetta,7/15/22 15:52,2000,,,,,,,,,,,,,,,,,Malveillance,1,0.777777778,0.41337877701611647,0.7953169691235784
2024,640,34,34062,Caussiniojouls,2/20/24 19:07,5479,0,5479,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.254901961,0.3571106748093031,0.47411192153800674
2022,20931,34,34341,Villeveyrac,2/22/22 11:08,10895,,10895,,,,,,,,,1,,,,,,Involontaire (travaux),0,0.2,0.3510105402450436,0.46716847005588513
2023,5013,13,13015,Bouc-Bel-Air,7/11/23 16:44,5,5,0,0,0,0,,,,,Estimées,1,Non,,,,,Accidentelle,0,0.04109589,0.30859320548785496,0.1683303100872087
2022,14276,13,13001,Aix-en-Provence,3/31/22 16:38,500,500,,,,,,,,,,1,,,,,,Involontaire (particulier),0,0.105263158,0.31077679659721935,0.2455564482412517
2022,18663,4,4053,Châteauneuf-Val-Saint-Donat,8/17/22 22:40,60,60,,,,,,,,,,,,,,,,Naturelle,0,0.094827586,0.30007630228197374,0.10849623708556003
2023,1314,13,13091,Saint-Cannat,3/22/23 14:13,1000,1000,,,,,,,,,Estimées,1,Non,,,,,Involontaire (particulier),0,0.333333333,0.31772226112715596,0.32046573347206586
2023,578,7,7284,Saint-Pierre-Saint-Jean,2/10/23 13:03,3000,3000,0,0,0,0,,,,,Estimées,5,Non,,,,,Involontaire (particulier),0,0.15942029,0.30927520744114295,0.217407522
2023,8395,41,41043,Châtillon-sur-Cher,8/20/23 15:14,28000,28000,,0,0,0,,,,,Estimées,,Non,,,,,Malveillance,1,0.2,0.30492534350354555,0.22570255694792477
2022,7124,61,61126,Coulonges-sur-Sarthe,9/16/22 20:17,2000,0,,2000,,,2000,0,,,,,,,,,Données partielles ou non valides,Malveillance,1,0.988095238,0.5360585669213676,0.9349427363494681
2022,14244,4,4170,La Rochette,4/8/22 13:03,867100,867010,,,,,,,,90,,5,,,,,,Malveillance,1,0.28,0.29619406905280654,0.14597731413109927
2024,466,34,34092,Cruzy,2/11/24 18:47,1418,1418,0,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.444444444,0.3420086449468072,0.47411192153800674
2023,7076,13,13107,Simiane-Collongue,8/4/23 22:40,200,200,0,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.652173913,0.33638905791823887,0.5052974099505547
2023,4906,13,13117,Vitrolles,7/6/23 16:35,3,3,0,0,0,0,,,,,Estimées,1,Non,,,,,Involontaire (particulier),0,0.4,0.302755074,0.1683303100872087
2023,8317,84,84076,Mirabeau,3/15/23 16:39,21100,21100,0,0,0,0,,,,,Mesurées,4,Non,,,,,Involontaire (particulier),0,0.136363636,0.32102172837593185,0.29968636766709916
2023,21371,83,83116,Saint-Maximin-la-Sainte-Baume,1/24/23 19:26,10,0,10,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Involontaire (particulier),0,0.020833333,0.2439033051116381,0.14478935016814082
2022,18416,34,34235,Rosis,8/7/22 16:29,71168,71168,,,,,,,,,,1,,,,,,Malveillance,1,0.361702128,0.3439139511873443,0.424637845
2023,964,74,74289,Vallières-sur-Fier,2/26/23 13:35,1560,1560,,0,0,0,,,,,Mesurées,,Non,,,,,Accidentelle,0,0.328125,0.3061153224381168,0.23139960679859778
2022,18948,13,13079,Puyloubier,8/14/22 14:18,10,10,,,,,,,,,,1,,,,,,Naturelle,0,0.094339623,0.31134744254949753,0.16743286321944453
2024,28850,7,7339,Vesseaux,8/25/24 22:41,20000,20000,0,0,0,0,,,,,Estimées,4,Non,,,,,Malveillance,1,0.173469388,0.30586250989139646,0.24518354128000344
2022,18555,34,34279,Saint-Nazaire-de-Ladarez,8/6/22 22:27,458,0,458,,,,,,,,,1,,,,,,Malveillance,1,0.9,0.3919963922409201,0.4826963270387046
2022,9189,12,12003,Les Albres,8/8/22 13:59,64400,63500,,0,,,0,0,900,900,Mesurées,,,,,,,Malveillance,1,0.344086022,0.3178384536220527,0.25478769910319227
2022,7324,61,61234,Lonrai,6/12/22 15:53,200000,0,,200000,,,200000,0,,,,,,,,,Données partielles ou non valides,Malveillance,1,0.946564885,0.5338248684341479,0.9349427363494681
2023,7031,6,6023,Breil-sur-Roya,8/6/23 15:06,10,0,10,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0,0.052631579,0.30840933314388463,0.17102691536449957
2024,22773,13,13056,Martigues,8/26/24 0:46,300,300,0,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.393939394,0.330043011,0.5894830346634504
2022,16242,30,30169,Milhaud,7/8/22 0:20,138303,,138303,,,,,,,,,1,,,,,,Accidentelle,0,0.5,0.32530658082822506,0.27884340412605285
2023,17240,40,40234,Pouydesseaux,4/8/23 17:06,1500,1500,,0,0,0,,,,,Estimées,,Non,0,0,0,,Accidentelle,0,0.1375,0.22211042112756282,0.16356537288653114
2022,19716,13,13030,Cuges-les-Pins,9/29/22 11:01,500,500,,,,,,,,,,1,,,,,,Involontaire (travaux),0,0.229166667,0.3171021270074186,0.2455564482412517
2022,4830,81,81066,Caucalières,9/21/22 11:35,1000,1000,,0,,,0,0,0,0,Estimées,,,,,,,Accidentelle,0,0.068181818,0.2793590452874258,0.21310968407207698
2022,17373,11,11115,Cuxac-Cabardès,7/17/22 20:08,400,,,,,,,,,,,,,,,,,Malveillance,1,0.648648649,0.3136704201534329,0.2455564482412517
2024,26933,24,24272,Minzac,8/8/24 17:39,1000,1000,,0,0,0,,,,,Estimées,,Non,0,0,0,,Involontaire (particulier),0,0.333333333,0.23963357768570948,0.21759698430056282
2023,21767,83,83066,Ginasservis,8/18/23 11:02,5,5,0,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Accidentelle,0,0.01010101,0.23082138127927135,0.14478935016814082
2024,20853,11,11395,Trassanel,7/8/24 19:13,4030,0,4030,0,0,0,,,,,Mesurées,,Non,,,,,Malveillance,1,0.25,0.319461443,0.28884692
2023,1317,13,13046,Gréasque,3/27/23 18:46,100,100,,,,,,,,,Estimées,1,Non,,,,,Involontaire (particulier),0,0.015625,0.3007227753480035,0.1766748794797802
2022,17413,4,4172,Roumoules,2/7/22 15:11,200,200,,,,,,,,,,,,,,,,Involontaire (particulier),0,0.137931034,0.2949903176298588,0.14597731413109927
2023,20029,33,33555,Marcheprime,8/25/23 13:23,1000,1000,,0,0,0,,,,,Estimées,,Non,0,0,0,,Naturelle,0,0.185185185,0.23622908940706266,0.20906022213983833
2023,21492,83,83043,Collobrières,4/7/23 9:50,2,0,2,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Involontaire (particulier),0,0.195652174,0.2439033051116381,0.14478935016814082
2023,21702,83,83107,Roquebrune-sur-Argens,7/31/23 0:56,8229,0,1000,1229,6000,0,,,,,Estimées,,Non,,,,Données partielles ou non valides,Accidentelle,0,0.185840708,0.3171921595785865,0.21837156462060267
2024,22008,4,4053,Châteauneuf-Val-Saint-Donat,8/15/24 8:36,20,20,0,0,0,0,,,,,Estimées,,,,,,Données partielles ou non valides,Naturelle,0,0.072289157,0.30988186557925324,0.11151569284240291
2023,7447,43,43162,Retournac,8/17/23 18:01,5000,5000,,0,0,0,,,,,Estimées,,Non,,,,,Malveillance,1,0.333333333,0.2965025143401463,0.22570255694792477
2022,11509,33,33192,Gradignan,5/27/22 20:52,1000,1000,,0,,,0,,,0,Estimées,,Non,,,,,Malveillance,1,0.069767442,0.2778540984934543,0.22525580548593513
2024,24962,11,11102,Couffoulens,10/17/24 20:19,20,0,20,0,0,0,,,,,Mesurées,1,Non,,,,,Involontaire (travaux),0,0.063492063,0.3062751222759349,0.21721786280730168
2023,12051,11,11431,Villeneuve-les-Corbières,11/22/23 13:50,15,0,15,0,0,0,,,,,Mesurées,,Non,,,,,Involontaire (travaux),0,0.057142857,0.312017993,0.1920302004611275
2022,18654,4,4039,Castellane,8/14/22 18:50,25,25,,,,,,,,,,,,,,,,Naturelle,0,0.04379562,0.29824382693142665,0.10571230820413402
2023,17114,16,16424,Yviers,7/29/23 2:58,15000,15000,,0,0,0,,,,,Estimées,,Non,0,0,0,,Malveillance,1,0.768115942,0.236005658,0.2009703967090926
2022,20554,6,6059,Èze,7/24/22 0:45,120,,,,,,,,,,,,,,,,,Involontaire (particulier),0,0.325581395,0.3145163974835911,0.2455564482412517
2022,18955,13,13108,Tarascon,8/17/22 0:18,120,120,,,,,,,,,,1,,,,,,Naturelle,0,0.291666667,0.3148354813864433,0.2455564482412517
2023,17256,40,40046,Biscarrosse,6/2/23 21:01,2,2,,0,0,0,,,,,Estimées,,Non,0,0,0,,Naturelle,0,0.069767442,0.2150108564233037,0.11924301176903504
2022,17210,4,4209,Sisteron,7/19/22 16:04,1200,1200,,,,,,,,,,,,,,,,Naturelle,0,0.128205128,0.30086892860896003,0.14597731413109927
2023,7622,11,11324,Roubia,8/10/23 14:13,18,0,18,0,0,0,,,,,Mesurées,,Non,,,,,Involontaire (particulier),0,0.016949153,0.3162753825242267,0.20025954849092215
2023,10073,13,13084,La Roque-d'Anthéron,9/8/23 11:46,400,400,0,0,0,0,,,,,Estimées,1,Non,,,,,Involontaire (particulier),0,0.277777778,0.3032278982742126,0.22706079406440566
2023,17333,40,40165,Luglon,9/2/23 9:00,2,2,,0,0,0,,,,,Estimées,,Non,0,0,0,,Naturelle,0,0.027027027,0.21403740509587008,0.11924301176903504
2022,21159,11,11398,Treilles,11/26/22 19:17,15,,,,,,,,,,,,,,,,,Involontaire (particulier),0,0.014492754,0.3071596599246747,0.15998565891296343
2022,15950,11,11251,Val-de-Dagne,1/30/22 13:22,8900,,,,,,,,,,,,,,,,,Malveillance,1,0.208333333,0.3136704201534329,0.2455564482412517
2023,3686,11,11266,Port-la-Nouvelle,1/27/23 13:17,300,10,290,0,0,0,,,,,Mesurées,,Non,,,,,Accidentelle,0,0.048387097,0.3118088148523471,0.2775099672259729
2024,28281,2A,2A204,Pastricciola,8/28/24 16:33,5,5,0,0,0,0,,,,,Mesurées,,Non,,,,,Naturelle,0,0.027272727,0.30285918,0.20810979253528816
2023,88,6,6050,Coursegoules,2/4/23 16:53,5000,0,5000,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0,0.590909091,0.3869378854055785,0.5925755975876605
2024,27627,2A,2A098,Coti-Chiavari,6/29/24 14:15,37000,0,37000,0,0,0,,,,,Mesurées,,Non,,,,,Accidentelle,0,0.65625,0.321745304,0.30992375228871355
2024,21262,13,13030,Cuges-les-Pins,7/18/24 12:35,50,50,0,0,0,0,,,,,Mesurées,1,Non,,,,,Involontaire (particulier),0,0,0.30419875275925506,0.2339257911655679
2023,21501,83,83150,Vinon-sur-Verdon,4/9/23 16:59,100000,100000,0,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Involontaire (particulier),0,0.150537634,0.25300736132194523,0.2025415492891806
2023,21580,83,83118,Saint-Raphaël,5/7/23 16:05,250,0,250,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Malveillance,1,0.126984127,0.24210679174283642,0.2025415492891806
2023,8711,2B,2B110,Favalello,9/8/23 8:07,105000,0,105000,0,0,0,,,,,Estimées,1,Non,,,,,Malveillance,1,0.776119403,0.3823303444955885,0.7870020325795886
2022,7303,61,61007,Athis-Val de Rouvre,7/11/22 16:03,3000,0,,3000,,,3000,0,,,,,,,,,Données partielles ou non valides,Malveillance,1,0.947368421,0.5466165788303481,0.9349427363494681
2024,22895,13,13055,Marseille,7/30/24 20:46,50,0,50,0,0,0,,,,,Estimées,1,Non,,,,,Malveillance,1,0.294117647,0.31025013261844553,0.2849237254503341
2023,13893,66,66069,Espira-de-l'Agly,1/18/23 11:36,500,500,0,0,0,0,,,,,Estimées,,Non,,,,,Malveillance,1,0.346938776,0.33858646075221677,0.37286721156725416
2024,21814,5,5026,Ceillac,8/8/24 6:58,50,50,0,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0,0.017241379,0.2975305906238354,0.18646133494340927
2023,8084,26,26236,Pierrelongue,7/27/23 16:29,13600,13600,0,0,0,0,,,,,Estimées,4,Non,,,,,Malveillance,1,0.795918367,0.3124320747430893,0.2363522138126976
2023,21796,83,83070,Le Lavandou,9/2/23 12:45,120,120,0,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Involontaire (travaux),0,0.125,0.23735043670047848,0.2025415492891806
2022,11705,33,33190,Goualade,8/5/22 9:53,8000,8000,,0,,,0,,,0,Estimées,,Non,,,,,Accidentelle,0,0.518518519,0.286973568,0.22525580548593513
2024,22804,13,13046,Gréasque,7/27/24 21:18,20,20,0,0,0,0,,,,,Mesurées,1,Non,,,,,Involontaire (particulier),0,0.074074074,0.29746639446697193,0.21721786280730168
2023,17248,40,40046,Biscarrosse,4/21/23 20:50,50,50,,0,0,0,,,,,Estimées,,Non,0,0,0,,Naturelle,0,0.068493151,0.2180144796117095,0.13237479471417152
2023,10081,13,13022,Cassis,10/4/23 21:18,200,200,0,0,0,0,,,,,Estimées,1,Non,,,,,Involontaire (particulier),0,0.222222222,0.3034067190815675,0.22706079406440566
2023,8559,13,13113,Venelles,8/15/23 14:13,70,70,0,0,0,0,,,,,Mesurées,1,Non,,,,,Accidentelle,0,0.129032258,0.3124238616310649,0.24340966411677892
2022,17869,83,83137,Toulon,7/31/22 5:05,200,200,,,,,,,,,,4,,,,,,Involontaire (particulier),0,0.161290323,0.31090026800152926,0.23637587615036973
2022,118,15,15149,Paulhenc,3/10/22 6:02,10000,0,,10000,,,10000,0,0,0,Estimées,,,,,,,Involontaire (travaux),0,0.037037037,0.3104877315166467,0.19589930753968451
2023,21865,83,83067,Gonfaron,11/25/23 6:47,50,0,50,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Malveillance,1,0.056603774,0.2439033051116381,0.16538814853641645
2022,14251,13,13068,Paradou,3/24/22 6:12,5,5,,,,,,,,,,1,,,,,,Involontaire (particulier),0,0.051282051,0.30571614178704876,0.16743286321944453
2022,6599,56,56009,Bangor,7/27/22 22:39,2,0,,2,,,2,0,0,0,Mesurées,,,,,,,Involontaire (particulier),0,0.272727273,0.29533911819355024,0.17408896193287138
2022,13568,6,6074,Lantosque,1/4/22 17:10,5000,1000,4000,,,,,,,,,1,,,,,,Involontaire (particulier),0,0.573170732,0.32789770672032154,0.27884340412605285
2024,21739,48,48009,Peyre en Aubrac,8/12/24 13:00,20,0,20,0,0,0,,,,,Estimées,1,Non,,,,,Accidentelle,0,0.142857143,0.29741697911401693,0.092387441
2022,15650,48,48017,Banassac-Canilhac,3/6/22 15:37,20000,,20000,,,,,,,,,3,,,,,,Involontaire (travaux),0,0.010989011,0.31889922953022837,0.11826197881634563
2023,7286,34,34123,Juvignac,8/4/23 0:59,5143,0,5143,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.416666667,0.35980212674031337,0.4924752707354903
2022,15964,11,11244,Montfort-sur-Boulzane,2/24/22 17:28,600,,,,,,,,,,,,,,,,,Involontaire (travaux),0,0.333333333,0.3136704201534329,0.2455564482412517
2024,22112,6,6129,Saint-Sauveur-sur-Tinée,8/23/24 13:47,200,200,0,0,0,0,,,,,Estimées,4,Non,,,,,Naturelle,0,0.293478261,0.304594121,0.22706079406440566
2023,21804,83,83073,Le Luc,9/7/23 17:19,200,0,200,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Involontaire (particulier),0,0.196078431,0.25264942154003517,0.2025415492891806
2022,16018,11,11262,Narbonne,6/4/22 2:59,2000,,,,,,,,,,,,,,,,,Accidentelle,0,0.068965517,0.3136704201534329,0.2455564482412517
2022,14048,2B,2B235,Pioggiola,3/11/22 11:04,13000,3000,10000,,,,,,,,,1,,,,,,Malveillance,1,0.65,0.37781811895963363,0.8219369220065635
2023,7020,6,6055,Duranus,7/27/23 15:12,100,0,100,0,0,0,,,,,Estimées,,Non,,,,,Naturelle,0,0.1,0.3102418084944318,0.20520036278869558
2022,18695,66,66205,Tautavel,8/2/22 23:50,1037,,,,,,,,,1037,,1,,,,,,Malveillance,1,0.574468085,0.36258442579604705,0.5989179720300293
2024,28266,2A,2A017,Appietto,8/13/24 1:24,10000,0,10000,0,0,0,,,,,Mesurées,,Non,,,,,Malveillance,1,0.892857143,0.34291837491375676,0.5539142622000188
2023,20020,33,33380,Val-de-Livenne,8/10/23 17:57,1000,1000,,0,0,0,,,,,Estimées,,Non,0,0,0,,Malveillance,1,0.617021277,0.2956970828931189,0.4991661044414246
2023,8554,13,13091,Saint-Cannat,8/12/23 15:08,10,10,0,0,0,0,,,,,Estimées,1,Non,,,,,Accidentelle,0,0.052631579,0.31841093110654795,0.4207638173475939
2022,5499,29,29266,Saint-Thégonnec Loc-Eguiner,8/3/22 16:06,100,0,,100,,,100,0,0,0,Estimées,,,,,,,Involontaire (particulier),0,0.015151515,0.29199499294094783,0.19559483819465534
2022,10866,40,40051,Bougue,8/15/22 15:15,10690,10690,,0,,,0,,,0,Estimées,,Non,,,,,Naturelle,0,0.235294118,0.26855588322190477,0.17702536103361427
2022,14946,84,84052,Grambois,1/6/22 17:52,15,,,,,,,,,15,,,,,,,,Involontaire (particulier),0,0.128571429,0.30581067125029926,0.15998565891296343
2023,698,5,5068,Jarjayes,3/6/23 16:33,700,700,0,0,0,0,,,,,Mesurées,4,Non,,,,,Involontaire (travaux),0,0.171171171,0.31998130813892245,0.2775099672259729
2022,16003,11,11198,Laure-Minervois,5/1/22 19:23,700,,,,,,,,,,,,,,,,,Accidentelle,0,0.435897436,0.3105204201534329,0.2455564482412517
2022,323,15,15012,Arpajon-sur-Cère,4/30/22 15:50,20,0,,20,,,20,0,0,0,Mesurées,,,,,,,Involontaire (particulier),0,0.059405941,0.29303167694028653,0.14978271719696953
2023,20025,33,33122,Cestas,8/22/23 20:57,5000,5000,,0,0,0,,,,,Estimées,,Non,,,,,Malveillance,1,0.541666667,0.2994228648859977,0.22525580548593513
2024,19629,74,74042,Bonneville,5/11/24 10:28,1,1,,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0,0.262295082,0.29289910225052224,0.15570742350178446
2024,28674,7,7200,Le Roux,2/3/24 16:27,8000,8000,0,0,0,0,,,,,Estimées,3,Non,,,,,Involontaire (travaux),0,0.172932331,0.3083516390312216,0.24518354128000344
2023,21811,83,83153,Saint-Mandrier-sur-Mer,9/13/23 16:58,100010,0,100010,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Malveillance,1,0.266055046,0.25174714266836856,0.2025415492891806
2023,19857,33,33300,Naujac-sur-Mer,4/20/23 12:02,5000,5000,,0,0,0,,,,,Estimées,,Non,0,0,0,,Accidentelle,0,0.151515152,0.23725850117176855,0.20906022213983833
2024,20924,34,34213,Poussan,7/18/24 16:19,14358,14358,0,0,0,0,,,,,Mesurées,1,Non,,,,,Accidentelle,0,0.257142857,0.34008816244199963,0.4794365443048461
2024,440,4,4237,Le Vernet,2/18/24 18:27,500,500,0,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (travaux),0,0.311111111,0.29312821298365666,0.13541463514444294
2023,21048,30,30200,Pompignan,10/14/23 4:57,70,70,0,0,0,0,,,,,Mesurées,1,Non,,,,,Malveillance,1,0.371428571,0.3091853630852566,0.2339257911655679
2022,11417,33,33503,Saumos,9/12/22 15:21,32480000,32480000,,0,,,0,0,0,0,Mesurées,,Non,,,,,Malveillance,1,0.283950617,0.29738151487739867,0.26432722484234394
2022,18203,7,7085,Empurany,8/10/22 14:17,121000,60000,49000,,,,,,,12000,,3,,,,,,Accidentelle,0,0.425742574,0.3223375167141122,0.27884340412605285
2024,5,66,66043,Casteil,1/1/24 12:02,2000,2000,0,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (particulier),0,0.209302326,0.3149349070082732,0.3599014577846964
2022,18140,34,34258,Saint-Geniès-de-Fontedit,7/21/22 14:57,30135,0,30135,,,,,,,,,1,,,,,,Malveillance,1,0.647058824,0.3587445624264525,0.46716847005588513
2022,14889,66,66018,La Bastide,5/21/22 12:21,2000,2000,,,,,,,,,,5,,,,,,Involontaire (particulier),0,0.196078431,0.34280956596413276,0.4222814470694597
2022,14127,6,6132,Saorge,3/29/22 20:13,5500,5500,,,,,,,,,,3,,,,,,Involontaire (particulier),0,0.229166667,0.3191854137004238,0.2455564482412517
2022,15427,66,66049,Céret,6/10/22 20:53,100,,50,,,,,,,50,,1,,,,,,Accidentelle,0,0.214285714,0.3479484939456873,0.3736182000166981
2022,2295,90,90010,Belfort,3/26/22 16:06,15000,15000,,0,,,0,0,0,0,Estimées,,,,,,,Involontaire (particulier),0,0.2,0.2884288471839275,0.19589930753968451
2022,637,81,81063,Castelnau-de-Lévis,6/13/22 18:07,30000,0,,10000,,,10000,0,20000,20000,Estimées,,,,,,,Involontaire (travaux),0,0.084415584,0.3334332733466394,0.19589930753968451
2023,19991,33,33001,Abzac,8/10/23 17:27,300,150,,150,0,0,,,,,Estimées,,Non,,,,,Malveillance,1,0.333333333,0.29894809366789055,0.22525580548593513
2023,10527,89,89067,Cézy,9/6/23 5:13,10,10,,0,0,0,,,,,Estimées,,Non,,,,,Accidentelle,0,0.093333333,0.3122055199686084,0.21831488219053727
2023,21583,83,83072,Lorgues,5/9/23 16:06,500,500,0,0,0,0,,,,,Estimées,,Non,0,0,0,Données partielles ou non valides,Malveillance,1,0.054545455,0.23904529590112522,0.2025415492891806
2022,10938,40,40169,Maillas,6/3/22 19:34,50,50,,0,,,0,,,0,Estimées,,Non,,,,,Naturelle,0,0.016666667,0.2637076599483491,0.14370906341403922
2022,7208,61,61001,Alençon,8/1/22 19:44,200,0,,200,,,200,0,,,,,,,,,Données partielles ou non valides,Malveillance,1,0.964705882,0.5433222639193062,0.9349427363494681
2024,24281,976,97606,Chirongui,8/4/24 12:50,30000,30000,,0,0,0,,,,,Estimées,,Non,,,,,Involontaire (travaux),0,0.384615385,0.3063950115906552,0.23425802718726743
2023,11415,13,13098,Saint-Mitre-les-Remparts,10/23/23 16:30,300,300,0,0,0,0,,,,,Estimées,1,Non,,,,,Malveillance,1,0.513513514,0.35077674440120005,0.4960450348513136
2023,18799,47,47016,Aubiac,8/7/23 15:37,1500,1500,,0,0,0,,,,,Estimées,,Non,0,0,0,,Involontaire (travaux),0,0.208333333,0.2179122093265039,0.1814625830216783
